pairs
1201 60400.0000 21383.3333
5736 62400.0000 22166.6667
9894 65633.3333 27733.3333
117 60016.6667 22666.6667
4534 61716.6667 29750.0000
1018 60316.6667 26116.6667
8587 64033.3333 23683.3333
724 60221.6667 24964.7222
7652 63316.6667 24200.0000
3039 61083.3333 21650.0000
4760 61833.3333 29900.0000
4681 61800.0000 27350.0000
8007 63550.0000 23983.3333
4864 61900.0000 27666.6667
3676 61350.0000 25050.0000
4896 61916.6667 26350.0000
6814 62916.6667 23333.3333
872 60266.6667 25783.3333
3963 61466.6667 26866.6667
3659 61350.0000 21666.6667
1414 60483.3333 22616.6667
6443 62733.3333 27416.6667
2746 60983.3333 24400.0000
3040 61083.3333 21916.6667
5565 62316.6667 22133.3333
2090 60750.0000 22200.0000
7809 63416.6667 23033.3333
2857 61016.6667 27166.6667
5706 62383.3333 26066.6667
9474 64900.0000 25000.0000
5430 62233.3333 26266.6667
6087 62566.6667 28850.0000
6175 62600.0000 30733.3333
6848 62933.3333 22600.0000
750 60233.3333 22950.0000
2322 60833.3333 25683.3333
3293 61166.6667 27716.6667
10403 67016.6667 25533.3333
5693 62383.3333 22033.3333
8429 63850.0000 26350.0000
6784 62900.0000 23000.0000
7732 63366.6667 23483.3333
1352 60450.0000 24933.3333
10265 66516.6667 25800.0000
9477 64900.0000 27166.6667
8186 63650.0000 29366.6667
753 60233.3333 23666.6667
9209 64516.6667 27583.3333
8705 64100.0000 28000.0000
1084 60350.0000 23283.3333
5858 62466.6667 21700.0000
7912 63483.3333 25666.6667
2417 60866.6667 23933.3333
2970 61050.0000 26950.0000
5759 62400.0000 30700.0000
5478 62266.6667 24033.3333
1873 60650.0000 24833.3333
4728 61833.3333 23066.6667
3395 61216.6667 27983.3333
1361 60450.0000 26050.0000
4762 61850.0000 21500.0000
3803 61400.0000 27266.6667
3075 61083.3333 27466.6667
9718 65300.0000 25666.6667
6941 62966.6667 22633.3333
8114 63616.6667 23116.6667
6257 62650.0000 24300.0000
3493 61266.6667 27816.6667
6947 62966.6667 23050.0000
5984 62516.6667 29366.6667
4546 61733.3333 25750.0000
8861 64200.0000 27100.0000
8224 63683.3333 26766.6667
10243 66450.0000 26083.3333
29 59916.6667 23383.3333
9450 64850.0000 26700.0000
6914 62950.0000 25300.0000
2581 60916.6667 26916.6667
8667 64083.3333 24550.0000
3831 61416.6667 23866.6667
3918 61450.0000 25716.6667
3097 61100.0000 22700.0000
3145 61116.6667 22350.0000
7053 63000.0000 31283.3333
6624 62816.6667 27200.0000
10093 66016.6667 26000.0000
4128 61533.3333 26550.0000
1986 60700.0000 23066.6667
1801 60616.6667 26666.6667
4525 61716.6667 27450.0000
6366 62700.0000 27800.0000
9078 64383.3333 25083.3333
1582 60533.3333 27616.6667
8160 63633.3333 27400.0000
8516 63950.0000 28750.0000
8384 63816.6667 26300.0000
6904 62950.0000 23716.6667
5956 62500.0000 29383.3333
7832 63433.3333 23016.6667
3044 61083.3333 22400.0000
7234 63083.3333 23600.0000
2572 60916.6667 25816.6667
3060 61083.3333 25450.0000
6912 62950.0000 25200.0000
10204 66316.6667 29150.0000
3326 61183.3333 26783.3333
6457 62733.3333 31383.3333
3188 61116.6667 28666.6667
4373 61650.0000 22883.3333
3428 61233.3333 26766.6667
7011 62983.3333 29450.0000
7074 63016.6667 24283.3333
4900 61916.6667 28033.3333
2682 60966.6667 21883.3333
1647 60566.6667 23716.6667
2598 60933.3333 22900.0000
5020 62000.0000 22583.3333
6463 62750.0000 22533.3333
1503 60516.6667 23500.0000
709 60216.6667 24661.1111
296 60100.0000 23183.3333
9219 64533.3333 25800.0000
5678 62366.6667 29833.3333
4684 61800.0000 27600.0000
8309 63750.0000 26566.6667
10549 68000.0000 24683.3333
5843 62450.0000 29433.3333
7622 63300.0000 26300.0000
3770 61383.3333 28833.3333
6874 62933.3333 28266.6667
4688 61800.0000 28316.6667
5889 62466.6667 31116.6667
9331 64650.0000 30066.6667
1514 60516.6667 25250.0000
9262 64583.3333 26016.6667
4228 61566.6667 29216.6667
2131 60750.0000 27333.0556
950 60300.0000 22966.6667
2608 60933.3333 24166.6667
9438 64833.3333 26050.0000
8366 63800.0000 28233.3333
8733 64116.6667 27233.3333
5764 62416.6667 22783.3333
4411 61666.6667 22166.6667
2347 60850.0000 21450.0000
9546 65000.0000 27666.6667
8011 63550.0000 26100.0000
1659 60566.6667 26850.0000
816 60250.0000 25400.0000
7867 63450.0000 27016.6667
4110 61533.3333 23266.6667
7576 63266.6667 26183.3333
2691 60966.6667 23000.0000
8578 64016.6667 28266.6667
25 59916.6667 21883.3333
1852 60633.3333 27883.3333
532 60174.4444 24944.4444
325 60116.6667 20233.3333
6555 62783.3333 25450.0000
4509 61716.6667 21733.3333
8359 63800.0000 26433.3333
10284 66583.3333 27900.0000
1301 60433.3333 23216.6667
8570 64016.6667 26316.6667
6679 62850.0000 23516.6667
5237 62116.6667 27333.3333
3055 61083.3333 24850.0000
5241 62116.6667 29050.0000
7274 63100.0000 27416.6667
1182 60383.3333 23716.6667
2190 60783.3333 23500.0000
6450 62733.3333 29050.0000
5053 62016.6667 24700.0000
496 60166.6667 22750.0000
2875 61033.3333 21516.6667
6986 62983.3333 23000.0000
343 60116.6667 23716.6667
7008 62983.3333 28766.6667
6790 62900.0000 24900.0000
9325 64650.0000 27666.6667
1273 60416.6667 24450.0000
333 60116.6667 22566.6667
9734 65316.6667 26216.6667
2312 60833.3333 23466.6667
5342 62183.3333 21516.6667
3938 61450.0000 29450.0000
3649 61333.3333 28516.6667
4822 61883.3333 23700.0000
3524 61283.3333 27400.0000
1982 60700.0000 22650.0000
2946 61050.0000 24150.0000
9178 64483.3333 27900.0000
1370 60466.6667 22066.6667
